Country,Age,YearsCode,Employment,OrgSize,Apache Kafka,Apache Flink,Apache Spark,Apache Storm,Apache Pulsar,Amazon Kinesis,Google Cloud Pub/Sub,Azure Stream Analytics,RabbitMQ,Redis,Apache NiFi,Apache Beam,Confluent Cloud,AWS MSK,Google Dataflow,Apache Samza,Amazon MSK,Azure Event Hubs,AWS Lambda,ExperienceLevel,CountryGroup
Ireland,45-54 years old,30.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Sweden,45-54 years old,36.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Sweden
Dominican Republic,35-44 years old,13.0,"Independent contractor, freelancer, or self-employed",Less than 20 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,35-44 years old,15.0,Employed,500 to 999 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Austria,35-44 years old,15.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,35-44 years old,23.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Belgium,45-54 years old,29.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,45-54 years old,26.0,Employed,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Czech Republic,35-44 years old,25.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Germany,25-34 years old,10.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
Italy,25-34 years old,15.0,"Independent contractor, freelancer, or self-employed","10,000 or more employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Italy
United States of America,35-44 years old,25.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United Kingdom of Great Britain and Northern Ireland,45-54 years old,25.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United Kingdom of Great Britain and Northern Ireland
United States of America,45-54 years old,8.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,45-54 years old,38.0,Employed,500 to 999 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,45-54 years old,25.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,35-44 years old,35.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Czech Republic,25-34 years old,14.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Czech Republic,25-34 years old,6.0,Not employed,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),Other
Hungary,45-54 years old,23.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
India,35-44 years old,,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not specified,India
Malaysia,25-34 years old,9.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United Kingdom of Great Britain and Northern Ireland,35-44 years old,21.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United Kingdom of Great Britain and Northern Ireland
Switzerland,25-34 years old,12.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Germany,35-44 years old,19.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
Netherlands,35-44 years old,18.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Netherlands
Egypt,35-44 years old,25.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,35-44 years old,8.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Netherlands,25-34 years old,13.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Netherlands
Austria,18-24 years old,10.0,Employed,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,65 years or older,30.0,Retired,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Sri Lanka,35-44 years old,15.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Poland,18-24 years old,12.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Poland
United Kingdom of Great Britain and Northern Ireland,45-54 years old,25.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United Kingdom of Great Britain and Northern Ireland
Spain,35-44 years old,20.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Spain
Czech Republic,45-54 years old,30.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Russian Federation,25-34 years old,16.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,45-54 years old,41.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Serbia,18-24 years old,5.0,Student,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),Other
Japan,25-34 years old,4.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),Other
Poland,25-34 years old,9.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Poland
Sweden,25-34 years old,12.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Sweden
France,45-54 years old,20.0,"Independent contractor, freelancer, or self-employed","Just me - I am a freelancer, sole proprietor, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),France
Switzerland,45-54 years old,25.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Czech Republic,25-34 years old,18.0,Employed,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Germany,18-24 years old,13.0,Student,"Just me - I am a freelancer, sole proprietor, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
United States of America,25-34 years old,16.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United Kingdom of Great Britain and Northern Ireland,55-64 years old,45.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),United Kingdom of Great Britain and Northern Ireland
Romania,25-34 years old,8.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Canada,35-44 years old,17.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Canada
Uruguay,35-44 years old,11.0,Not employed,Not specified,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,35-44 years old,26.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,65 years or older,45.0,Retired,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United Arab Emirates,35-44 years old,12.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Netherlands,55-64 years old,35.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Netherlands
United States of America,35-44 years old,25.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Belgium,25-34 years old,15.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,35-44 years old,22.0,Employed,500 to 999 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Brazil,25-34 years old,15.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Brazil
Italy,35-44 years old,20.0,Employed,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Italy
France,18-24 years old,4.0,Student,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),France
Spain,18-24 years old,8.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Spain
Argentina,25-34 years old,8.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Sri Lanka,35-44 years old,15.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
India,25-34 years old,6.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Mid (3-6 years),India
Hungary,55-64 years old,38.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United Kingdom of Great Britain and Northern Ireland,35-44 years old,10.0,Employed,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United Kingdom of Great Britain and Northern Ireland
Russian Federation,45-54 years old,30.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Russian Federation,35-44 years old,,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Not specified,Other
Belgium,45-54 years old,42.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,45-54 years old,40.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Bangladesh,25-34 years old,11.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Germany,18-24 years old,4.0,Student,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),Germany
Germany,45-54 years old,41.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
United States of America,45-54 years old,27.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Canada,35-44 years old,20.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Canada
Italy,35-44 years old,22.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Italy
Canada,25-34 years old,15.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Canada
Germany,45-54 years old,35.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
Norway,45-54 years old,24.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,55-64 years old,30.0,"Independent contractor, freelancer, or self-employed",Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,35-44 years old,12.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United Kingdom of Great Britain and Northern Ireland,55-64 years old,30.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United Kingdom of Great Britain and Northern Ireland
United States of America,25-34 years old,10.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,25-34 years old,16.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Egypt,18-24 years old,2.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Junior (0-2 years),Other
Austria,65 years or older,40.0,Retired,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Netherlands,35-44 years old,15.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Netherlands
United Kingdom of Great Britain and Northern Ireland,25-34 years old,14.0,"Independent contractor, freelancer, or self-employed",Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United Kingdom of Great Britain and Northern Ireland
Sweden,25-34 years old,14.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Sweden
Germany,18-24 years old,12.0,Student,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
Germany,25-34 years old,15.0,Employed,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
Belgium,18-24 years old,9.0,Student,Less than 20 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Spain,25-34 years old,10.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Spain
Canada,45-54 years old,25.0,Employed,500 to 999 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Canada
United States of America,65 years or older,45.0,"Independent contractor, freelancer, or self-employed","Just me - I am a freelancer, sole proprietor, etc.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Canada,45-54 years old,27.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Canada
Canada,35-44 years old,16.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Canada
United States of America,25-34 years old,17.0,Not employed,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Switzerland,25-34 years old,13.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Spain,25-34 years old,7.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Spain
Slovakia,18-24 years old,5.0,Student,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),Other
United States of America,35-44 years old,24.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Netherlands,35-44 years old,18.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Netherlands
United States of America,18-24 years old,9.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,45-54 years old,28.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Italy,18-24 years old,6.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),Italy
India,25-34 years old,10.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),India
Hungary,18-24 years old,10.0,"Independent contractor, freelancer, or self-employed",Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
France,18-24 years old,6.0,I prefer not to say,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),France
Republic of Moldova,35-44 years old,26.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,25-34 years old,3.0,Employed,500 to 999 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Mid (3-6 years),United States of America
Norway,25-34 years old,8.0,Employed,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Canada,35-44 years old,30.0,"Independent contractor, freelancer, or self-employed",Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Canada
Germany,45-54 years old,9.0,Not employed,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
France,18-24 years old,8.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),France
Germany,18-24 years old,10.0,Student,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
United States of America,35-44 years old,15.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,55-64 years old,45.0,Employed,Less than 20 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Germany,35-44 years old,10.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
Switzerland,25-34 years old,9.0,Employed,"1,000 to 4,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Poland,25-34 years old,15.0,Not employed,Not specified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Poland
United States of America,55-64 years old,45.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
United States of America,35-44 years old,15.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
France,45-54 years old,40.0,Employed,500 to 999 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),France
Italy,25-34 years old,15.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Italy
Poland,35-44 years old,22.0,Employed,"5,000 to 9,999 employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Poland
Italy,25-34 years old,12.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Italy
Brazil,45-54 years old,37.0,Employed,"10,000 or more employees",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Brazil
Germany,25-34 years old,17.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
Romania,25-34 years old,10.0,"Independent contractor, freelancer, or self-employed",Not specified,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Peru,35-44 years old,20.0,"Independent contractor, freelancer, or self-employed",100 to 499 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
Sri Lanka,25-34 years old,8.0,Employed,20 to 99 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Other
United States of America,35-44 years old,20.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Senior (7+ years),United States of America
Germany,45-54 years old,35.0,Employed,100 to 499 employees,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Senior (7+ years),Germany
